pygame 2.5.2 (SDL 2.28.2, Python 3.11.8)
Hello from the pygame community. https://www.pygame.org/contribute.html
         5326381 function calls (5320367 primitive calls) in 124.085 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    119/1    0.001    0.000  124.085  124.085 {built-in method builtins.exec}
        1    0.000    0.000  124.085  124.085 main.py:1(<module>)
        1    0.000    0.000  121.626  121.626 runners.py:160(run)
        3    0.000    0.000  121.625   40.542 base_events.py:618(run_until_complete)
        1    0.000    0.000  121.625  121.625 runners.py:86(run)
        3    0.014    0.005  121.625   40.542 base_events.py:594(run_forever)
     7551    0.116    0.000  121.611    0.016 base_events.py:1859(_run_once)
     7552    0.022    0.000  121.369    0.016 events.py:82(_run)
     7552    0.097    0.000  121.348    0.016 {method 'run' of '_contextvars.Context' objects}
     7547    1.006    0.000  121.112    0.016 main.py:1051(main)
     7546   83.085    0.011   83.085    0.011 {method 'tick' of 'pygame.time.Clock' objects}
     7546   14.202    0.002   14.202    0.002 {built-in method pygame.display.flip}
   271666   14.144    0.000   14.144    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
     7546    0.137    0.000    5.005    0.001 main.py:748(draw)
   105644    0.343    0.000    3.368    0.000 pygameGui.py:23(draw)
   158466    3.257    0.000    3.257    0.000 {built-in method pygame.draw.rect}
     7546    0.079    0.000    2.512    0.000 main.py:706(drawShop)
     7556    2.237    0.000    2.237    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
        1    0.003    0.003    2.112    2.112 main.py:930(__init__)
        9    0.970    0.108    1.979    0.220 main.py:992(setPaddockState)
   188663    1.456    0.000    1.456    0.000 {method 'render' of 'pygame.font.Font' objects}
  2879202    0.760    0.000    0.760    0.000 {method 'get_at' of 'pygame.surface.Surface' objects}
     7547    0.604    0.000    0.604    0.000 {built-in method pygame.display.set_caption}
       15    0.001    0.000    0.465    0.031 __init__.py:1(<module>)
    60368    0.069    0.000    0.427    0.000 main.py:78(draw)
    182/5    0.001    0.000    0.346    0.069 <frozen importlib._bootstrap>:1165(_find_and_load)
    182/5    0.001    0.000    0.346    0.069 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    172/5    0.001    0.000    0.342    0.068 <frozen importlib._bootstrap>:666(_load_unlocked)
    117/5    0.000    0.000    0.342    0.068 <frozen importlib._bootstrap_external>:934(exec_module)
   430/10    0.000    0.000    0.335    0.033 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   680254    0.248    0.000    0.248    0.000 {method 'set_at' of 'pygame.surface.Surface' objects}
     7546    0.015    0.000    0.189    0.000 main.py:92(draw)
     7547    0.180    0.000    0.180    0.000 {built-in method pygame.event.get}
     7546    0.032    0.000    0.175    0.000 main.py:53(draw)
        1    0.000    0.000    0.165    0.165 pkgdata.py:1(<module>)
  172/158    0.000    0.000    0.153    0.001 <frozen importlib._bootstrap>:566(module_from_spec)
     7552    0.027    0.000    0.139    0.000 base_events.py:752(call_soon)
    34/32    0.000    0.000    0.107    0.003 <frozen importlib._bootstrap_external>:1231(create_module)
    34/32    0.105    0.003    0.107    0.003 {built-in method _imp.create_dynamic}
    36/23    0.000    0.000    0.105    0.005 {built-in method builtins.__import__}
     7552    0.052    0.000    0.102    0.000 base_events.py:781(_call_soon)
     7551    0.032    0.000    0.095    0.000 selectors.py:451(select)
